formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,wrapper-glucose.sh,0.003056,431
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,wrapper-glucose.sh,0.000984,34
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,wrapper-glucose.sh,0.000869,147
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,wrapper-glucose.sh,0.0029,40
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,wrapper-glucose.sh,0.002356,145
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,wrapper-glucose.sh,0.003041,57
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,wrapper-glucose.sh,0.00313,449
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_20.cnf,wrapper-glucose.sh,0.004858,539
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_15.cnf,wrapper-glucose.sh,0.003233,91
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_16.cnf,wrapper-glucose.sh,0.004128,492
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_50.cnf,wrapper-glucose.sh,0.003942,563
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_20.cnf,wrapper-glucose.sh,0.004317,575
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_0.cnf,wrapper-glucose.sh,0.002616,121
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_37.cnf,wrapper-glucose.sh,0.0029,388
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_32.cnf,wrapper-glucose.sh,0.002879,179
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_20.cnf,wrapper-glucose.sh,0.002456,123
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_5.cnf,wrapper-glucose.sh,0.00554,568
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_25.cnf,wrapper-glucose.sh,0.005765,397
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_16.cnf,wrapper-glucose.sh,0.002303,357
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_9.cnf,wrapper-glucose.sh,0.005232,562
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_15.cnf,wrapper-glucose.sh,0.002327,220
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_7.cnf,wrapper-glucose.sh,0.001911,339
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_16.cnf,wrapper-glucose.sh,0.002336,261
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,wrapper-glucose.sh,0.003026,466
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,wrapper-glucose.sh,0.002874,107
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,wrapper-glucose.sh,0.003636,369
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,wrapper-glucose.sh,0.001522,37
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,wrapper-glucose.sh,0.005275,661
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,wrapper-glucose.sh,0.003123,278
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_14.cnf,wrapper-glucose.sh,0.002226,134
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,wrapper-glucose.sh,0.001839,46
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,wrapper-glucose.sh,0.008218,789
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_13.cnf,wrapper-glucose.sh,0.002089,68
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_7.cnf,wrapper-glucose.sh,0.003484,397
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_13.cnf,wrapper-glucose.sh,0.005344,629
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_11.cnf,wrapper-glucose.sh,0.002756,332
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_3.cnf,wrapper-glucose.sh,0.004531,498
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_18.cnf,wrapper-glucose.sh,0.003367,400
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_6.cnf,wrapper-glucose.sh,0.004032,511
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_20.cnf,wrapper-glucose.sh,0.005358,481
