formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_5.cnf,wrapper-glucose.sh,0.00554,568,0.172,73118
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_25.cnf,wrapper-glucose.sh,0.005765,397,0.078,384
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_16.cnf,wrapper-glucose.sh,0.002303,357,0.096,4744
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_9.cnf,wrapper-glucose.sh,0.005232,562,0.074,504
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_15.cnf,wrapper-glucose.sh,0.002327,220,0.062,264
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_7.cnf,wrapper-glucose.sh,0.001911,339,0.124,36626
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_16.cnf,wrapper-glucose.sh,0.002336,261,0.064,360
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_19.cnf,wrapper-glucose.sh,0.003026,466,0.106,3872
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_10.cnf,wrapper-glucose.sh,0.002874,107,0.292,148068
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_17.cnf,wrapper-glucose.sh,0.003636,369,0.098,8056
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_2.cnf,wrapper-glucose.sh,0.001522,37,0.14,4432
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_19.cnf,wrapper-glucose.sh,0.005275,661,0.108,17568
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_14.cnf,wrapper-glucose.sh,0.003123,278,0.068,336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_14.cnf,wrapper-glucose.sh,0.002226,134,0.182,363412
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_18.cnf,wrapper-glucose.sh,0.001839,46,0.25,210950
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_2.cnf,wrapper-glucose.sh,0.008218,789,0.094,76
